id,atlas_id,name, ,st_level,parent_structure_id,depth,graph_order,structure_id_path,sphinx_id,acronym_path,color_hex_triplet,svg_hex_triplet
140,724.0,cerebral aqueduct,AQ,8,73.0,2,1300,/997/73/140/,1301,root/VS/AQ,AAAAAA,A9A9A8
145,725.0,fourth ventricle,V4,8,73.0,2,1301,/997/73/145/,1302,root/VS/V4,AAAAAA,AAA9A7
164,727.0,"central canal, spinal cord/medulla",c,8,73.0,2,1303,/997/73/164/,1304,root/VS/c,AAAAAA,A7AAA9
1032,694.0,grooves of the cerebral cortex,grv of CTX,7,1024.0,2,1305,/997/1024/1032/,1306,root/grv/grv of CTX,AAAAAA,A8AAA8
1040,695.0,grooves of the cerebellar cortex,grv of CBX,7,1024.0,2,1310,/997/1024/1040/,1311,root/grv/grv of CBX,AAAAAA,A8A8AA
624,926.0,Interpeduncular fossa,IPF,7,1024.0,2,1325,/997/1024/624/,1326,root/grv/IPF,AAAAAA,A9A8A9
688,85.0,Cerebral cortex,CTX,3,567.0,3,3,/997/8/567/688/,4,root/grey/CH/CTX,B0FFB8,B0FFB8
623,77.0,Cerebral nuclei,CNU,3,567.0,3,570,/997/8/567/623/,571,root/grey/CH/CNU,98D6F9,98D6F8
1129,140.0,Interbrain,IB,3,343.0,3,640,/997/8/343/1129/,641,root/grey/BS/IB,FF7080,FF707F
313,180.0,Midbrain,MB,5,343.0,3,806,/997/8/343/313/,807,root/grey/BS/MB,FF64FF,FF64FF
1065,132.0,Hindbrain,HB,3,343.0,3,882,/997/8/343/1065/,883,root/grey/BS/HB,FF9B88,FF9B87
528,65.0,Cerebellar cortex,CBX,5,512.0,3,1015,/997/8/512/528/,1016,root/grey/CB/CBX,F0F080,F0EF80
519,64.0,Cerebellar nuclei,CBN,5,512.0,3,1096,/997/8/512/519/,1097,root/grey/CB/CBN,F0F080,F0F07F
885,676.0,terminal nerve,tn,8,967.0,3,1103,/997/1009/967/885/,1104,root/fiber tracts/cm/tn,CCCCCC,C7CCC9
949,684.0,vomeronasal nerve,von,8,967.0,3,1104,/997/1009/967/949/,1105,root/fiber tracts/cm/von,CCCCCC,CAC8C9
840,670.0,olfactory nerve,In,8,967.0,3,1105,/997/1009/967/840/,1106,root/fiber tracts/cm/In,CCCCCC,CCCBC7
848,671.0,optic nerve,IIn,8,967.0,3,1112,/997/1009/967/848/,1113,root/fiber tracts/cm/IIn,CCCCCC,CBCCC7
832,669.0,oculomotor nerve,IIIn,8,967.0,3,1119,/997/1009/967/832/,1120,root/fiber tracts/cm/IIIn,CCCCCC,C7CCCC
911,679.0,trochlear nerve,IVn,8,967.0,3,1122,/997/1009/967/911/,1123,root/fiber tracts/cm/IVn,CCCCCC,C8C9C8
710,654.0,abducens nerve,VIn,8,967.0,3,1124,/997/1009/967/710/,1125,root/fiber tracts/cm/VIn,CCCCCC,CBCACB
901,678.0,trigeminal nerve,Vn,8,967.0,3,1125,/997/1009/967/901/,1126,root/fiber tracts/cm/Vn,CCCCCC,CBC7CB
798,665.0,facial nerve,VIIn,8,967.0,3,1130,/997/1009/967/798/,1131,root/fiber tracts/cm/VIIn,CCCCCC,CCCCC7
933,682.0,vestibulocochlear nerve,VIIIn,8,967.0,3,1133,/997/1009/967/933/,1134,root/fiber tracts/cm/VIIIn,CCCCCC,C9C7CA
808,666.0,glossopharyngeal nerve,IXn,8,967.0,3,1143,/997/1009/967/808/,1144,root/fiber tracts/cm/IXn,CCCCCC,CCC8C9
917,680.0,vagus nerve,Xn,8,967.0,3,1144,/997/1009/967/917/,1145,root/fiber tracts/cm/Xn,CCCCCC,C7C9CB
717,655.0,accessory spinal nerve,XIn,8,967.0,3,1146,/997/1009/967/717/,1147,root/fiber tracts/cm/XIn,CCCCCC,CAC8CC
813,667.0,hypoglossal nerve,XIIn,8,967.0,3,1147,/997/1009/967/813/,1148,root/fiber tracts/cm/XIIn,CCCCCC,C9CCC8
925,681.0,ventral roots,vrt,7,967.0,3,1148,/997/1009/967/925/,1149,root/fiber tracts/cm/vrt,CCCCCC,CAC7C9
792,664.0,dorsal roots,drt,7,967.0,3,1149,/997/1009/967/792/,1150,root/fiber tracts/cm/drt,CCCCCC,CAC8CA
871,674.0,spinothalamic tract,sst,8,967.0,3,1160,/997/1009/967/871/,1161,root/fiber tracts/cm/sst,CCCCCC,C9CBC8
744,658.0,cerebellar commissure,cbc,8,960.0,3,1172,/997/1009/960/744/,1173,root/fiber tracts/cbf/cbc,CCCCCC,CBC8CA
752,659.0,cerebellar peduncles,cbp,7,960.0,3,1173,/997/1009/960/752/,1174,root/fiber tracts/cbf/cbp,CCCCCC,CAC8CB
728,656.0,arbor vitae,arb,8,960.0,3,1188,/997/1009/960/728/,1189,root/fiber tracts/cbf/arb,CCCCCC,CBC9CC
776,662.0,corpus callosum,cc,8,983.0,3,1191,/997/1009/983/776/,1192,root/fiber tracts/lfbs/cc,CCCCCC,C7C9CA
784,663.0,corticospinal tract,cst,8,983.0,3,1200,/997/1009/983/784/,1201,root/fiber tracts/lfbs/cst,CCCCCC,C8C7CC
896,677.0,thalamus related,lfbst,7,983.0,3,1211,/997/1009/983/896/,1212,root/fiber tracts/lfbs/lfbst,CCCCCC,C7CBCC
760,660.0,cerebral nuclei related,epsc,7,1000.0,3,1219,/997/1009/1000/760/,1220,root/fiber tracts/eps/epsc,CCCCCC,C8CACB
877,675.0,tectospinal pathway,tsp,8,1000.0,3,1226,/997/1009/1000/877/,1227,root/fiber tracts/eps/tsp,CCCCCC,C8CBC9
863,673.0,rubrospinal tract,rust,8,1000.0,3,1230,/997/1009/1000/863/,1231,root/fiber tracts/eps/rust,CCCCCC,C8C8CB
736,657.0,central tegmental bundle,ctb,8,1000.0,3,1233,/997/1009/1000/736/,1234,root/fiber tracts/eps/ctb,CCCCCC,CBCAC8
855,672.0,retriculospinal tract,rst,8,1000.0,3,1234,/997/1009/1000/855/,1235,root/fiber tracts/eps/rst,CCCCCC,C8CAC8
941,683.0,vestibulospinal pathway,vsp,8,1000.0,3,1237,/997/1009/1000/941/,1238,root/fiber tracts/eps/vsp,CCCCCC,CCC8C7
768,661.0,cerebrum related,mfbc,7,991.0,3,1239,/997/1009/991/768/,1240,root/fiber tracts/mfbs/mfbc,CCCCCC,C9CBC7
824,668.0,hypothalamus related,mfsbshy,7,991.0,3,1261,/997/1009/991/824/,1262,root/fiber tracts/mfbs/mfsbshy,CCCCCC,C8CCC9
89,718.0,rhinocele,RC,9,81.0,3,1294,/997/73/81/89/,1295,root/VS/VL/RC,AAAAAA,AAA9A8
98,719.0,subependymal zone,SEZ,9,81.0,3,1295,/997/73/81/98/,1296,root/VS/VL/SEZ,AAAAAA,AAA8A9
108,720.0,choroid plexus,chpl,9,81.0,3,1296,/997/73/81/108/,1297,root/VS/VL/chpl,AAAAAA,A9AAA8
116,721.0,choroid fissure,chfl,9,81.0,3,1297,/997/73/81/116/,1298,root/VS/VL/chfl,AAAAAA,A9A8AA
153,726.0,lateral recess,V4r,9,145.0,3,1302,/997/73/145/153/,1303,root/VS/V4/V4r,AAAAAA,A9AAA7
1055,697.0,endorhinal groove,eg,8,1032.0,3,1306,/997/1024/1032/1055/,1307,root/grv/grv of CTX/eg,AAAAAA,AAAAA7
1063,698.0,hippocampal fissure,hf,8,1032.0,3,1307,/997/1024/1032/1063/,1308,root/grv/grv of CTX/hf,AAAAAA,AAA7AA
1071,699.0,rhinal fissure,rf,8,1032.0,3,1308,/997/1024/1032/1071/,1309,root/grv/grv of CTX/rf,AAAAAA,AAA7A9
1078,700.0,rhinal incisure,ri,8,1032.0,3,1309,/997/1024/1032/1078/,1310,root/grv/grv of CTX/ri,AAAAAA,A9A8A8
1087,701.0,precentral fissure,pce,8,1040.0,3,1311,/997/1024/1040/1087/,1312,root/grv/grv of CBX/pce,AAAAAA,A8A9A8
1095,702.0,preculminate fissure,pcf,8,1040.0,3,1312,/997/1024/1040/1095/,1313,root/grv/grv of CBX/pcf,AAAAAA,A8A9A9
1103,703.0,primary fissure,pri,8,1040.0,3,1313,/997/1024/1040/1103/,1314,root/grv/grv of CBX/pri,AAAAAA,A9A7AA
1112,704.0,posterior superior fissure,psf,8,1040.0,3,1314,/997/1024/1040/1112/,1315,root/grv/grv of CBX/psf,AAAAAA,A8A8A9
1119,705.0,prepyramidal fissure,ppf,8,1040.0,3,1315,/997/1024/1040/1119/,1316,root/grv/grv of CBX/ppf,AAAAAA,A7AAAA
3,707.0,secondary fissure,sec,8,1040.0,3,1316,/997/1024/1040/3/,1317,root/grv/grv of CBX/sec,AAAAAA,AAAAAA
11,708.0,posterolateral fissure,plf,8,1040.0,3,1317,/997/1024/1040/11/,1318,root/grv/grv of CBX/plf,AAAAAA,AAAAA9
18,709.0,nodular fissure,nf,8,1040.0,3,1318,/997/1024/1040/18/,1319,root/grv/grv of CBX/nf,AAAAAA,AAA9AA
25,710.0,simple fissure,sif,8,1040.0,3,1319,/997/1024/1040/25/,1320,root/grv/grv of CBX/sif,AAAAAA,A9AAAA
34,711.0,intercrural fissure,icf,8,1040.0,3,1320,/997/1024/1040/34/,1321,root/grv/grv of CBX/icf,AAAAAA,AAA9A9
43,712.0,ansoparamedian fissure,apf,8,1040.0,3,1321,/997/1024/1040/43/,1322,root/grv/grv of CBX/apf,AAAAAA,A9AAA9
49,713.0,intraparafloccular fissure,ipf,8,1040.0,3,1322,/997/1024/1040/49/,1323,root/grv/grv of CBX/ipf,AAAAAA,A9A9AA
57,714.0,paramedian sulcus,pms,8,1040.0,3,1323,/997/1024/1040/57/,1324,root/grv/grv of CBX/pms,AAAAAA,A9A9A9
65,715.0,parafloccular sulcus,pfs,8,1040.0,3,1324,/997/1024/1040/65/,1325,root/grv/grv of CBX/pfs,AAAAAA,AAAAA8
695,86.0,Cortical plate,CTXpl,4,688.0,4,4,/997/8/567/688/695/,5,root/grey/CH/CTX/CTXpl,70FF70,70FF70
703,87.0,Cortical subplate,CTXsp,5,688.0,4,555,/997/8/567/688/703/,556,root/grey/CH/CTX/CTXsp,8ADA87,8AD987
477,342.0,Striatum,STR,5,623.0,4,571,/997/8/567/623/477/,572,root/grey/CH/CNU/STR,98D6F9,97D6F9
803,241.0,Pallidum,PAL,5,623.0,4,608,/997/8/567/623/803/,609,root/grey/CH/CNU/PAL,8599CC,8599CC
549,351.0,Thalamus,TH,5,1129.0,4,641,/997/8/343/1129/549/,642,root/grey/BS/IB/TH,FF7080,FF6F80
1097,136.0,Hypothalamus,HY,5,1129.0,4,715,/997/8/343/1129/1097/,716,root/grey/BS/IB/HY,E64438,E64438
339,183.0,"Midbrain, sensory related",MBsen,6,313.0,4,807,/997/8/343/313/339/,808,root/grey/BS/MB/MBsen,FF7AFF,FE7AFF
323,181.0,"Midbrain, motor related",MBmot,6,313.0,4,821,/997/8/343/313/323/,822,root/grey/BS/MB/MBmot,FF90FF,FE8EFE
348,184.0,"Midbrain, behavioral state related",MBsta,6,313.0,4,865,/997/8/343/313/348/,866,root/grey/BS/MB/MBsta,FF90FF,FD8FFE
771,237.0,Pons,P,5,1065.0,4,883,/997/8/343/1065/771/,884,root/grey/BS/HB/P,FF9B88,FF9B88
354,185.0,Medulla,MY,5,1065.0,4,935,/997/8/343/1065/354/,936,root/grey/BS/HB/MY,FF9BCD,FF9BCD
1144,1142.0,"Cerebellar cortex, molecular layer",CBXmo,11,528.0,4,1016,/997/8/512/528/1144/,1017,root/grey/CB/CBX/CBXmo,FFFC91,FFFA8E
1145,1143.0,"Cerebellar cortex, Purkinje layer",CBXpu,11,528.0,4,1017,/997/8/512/528/1145/,1018,root/grey/CB/CBX/CBXpu,FFFC91,FFF98F
1143,1141.0,"Cerebellar cortex, granular layer",CBXgr,11,528.0,4,1018,/997/8/512/528/1143/,1019,root/grey/CB/CBX/CBXgr,ECE754,EBE753
645,363.0,Vermal regions,VERM,6,528.0,4,1019,/997/8/512/528/645/,1020,root/grey/CB/CBX/VERM,FFFC91,FFFA91
1073,133.0,Hemispheric regions,HEM,6,528.0,4,1066,/997/8/512/528/1073/,1067,root/grey/CB/CBX/HEM,FFFC91,FEF990
989,123.0,Fastigial nucleus,FN,8,519.0,4,1097,/997/8/512/519/989/,1098,root/grey/CB/CBN/FN,FFFDBC,FFFCBC
91,152.0,Interposed nucleus,IP,8,519.0,4,1098,/997/8/512/519/91/,1099,root/grey/CB/CBN/IP,FFFDBC,FFFDBC
846,105.0,Dentate nucleus,DN,8,519.0,4,1099,/997/8/512/519/846/,1100,root/grey/CB/CBN/DN,FFFDBC,FFFDBB
589508455,,Vestibulocerebellar nucleus,VeCB,8,519.0,4,1100,/997/8/512/519/589508455/,1101,root/grey/CB/CBN/VeCB,FFFDBC,FEFDBC
1016,692.0,olfactory nerve layer of main olfactory bulb,onl,9,840.0,4,1106,/997/1009/967/840/1016/,1107,root/fiber tracts/cm/In/onl,CCCCCC,C7CBCA
21,568.0,"lateral olfactory tract, general",lotg,9,840.0,4,1107,/997/1009/967/840/21/,1108,root/fiber tracts/cm/In/lotg,CCCCCC,CCCCCB
900,536.0,"anterior commissure, olfactory limb",aco,9,840.0,4,1111,/997/1009/967/840/900/,1112,root/fiber tracts/cm/In/aco,CCCCCC,CBCBC7
876,533.0,accessory optic tract,aot,9,848.0,4,1113,/997/1009/967/848/876/,1114,root/fiber tracts/cm/IIn/aot,CCCCCC,C9C8CB
916,538.0,brachium of the superior colliculus,bsc,9,848.0,4,1114,/997/1009/967/848/916/,1115,root/fiber tracts/cm/IIn/bsc,CCCCCC,C7CBCB
336,607.0,superior colliculus commissure,csc,9,848.0,4,1115,/997/1009/967/848/336/,1116,root/fiber tracts/cm/IIn/csc,CCCCCC,C9CBCB
117,580.0,optic chiasm,och,9,848.0,4,1116,/997/1009/967/848/117/,1117,root/fiber tracts/cm/IIn/och,CCCCCC,CBCACC
125,581.0,optic tract,opt,9,848.0,4,1117,/997/1009/967/848/125/,1118,root/fiber tracts/cm/IIn/opt,CCCCCC,CACCCB
357,610.0,tectothalamic pathway,ttp,9,848.0,4,1118,/997/1009/967/848/357/,1119,root/fiber tracts/cm/IIn/ttp,CCCCCC,C9CACC
62,573.0,medial longitudinal fascicle,mlf,9,832.0,4,1120,/997/1009/967/832/62/,1121,root/fiber tracts/cm/IIIn/mlf,CCCCCC,CBCBCC
158,585.0,posterior commissure,pc,9,832.0,4,1121,/997/1009/967/832/158/,1122,root/fiber tracts/cm/IIIn/pc,CCCCCC,CCCACA
384,613.0,trochlear nerve decussation,IVd,9,911.0,4,1123,/997/1009/967/911/384/,1124,root/fiber tracts/cm/IVn/IVd,CCCCCC,C9CCCA
93,577.0,motor root of the trigeminal nerve,moV,9,901.0,4,1126,/997/1009/967/901/93/,1127,root/fiber tracts/cm/Vn/moV,CCCCCC,CCCBCA
229,594.0,sensory root of the trigeminal nerve,sV,9,901.0,4,1127,/997/1009/967/901/229/,1128,root/fiber tracts/cm/Vn/sV,CCCCCC,CACACB
1131,565.0,intermediate nerve,iVIIn,9,798.0,4,1131,/997/1009/967/798/1131/,1132,root/fiber tracts/cm/VIIn/iVIIn,CCCCCC,C9C8C9
1116,563.0,genu of the facial nerve,gVIIn,9,798.0,4,1132,/997/1009/967/798/1116/,1133,root/fiber tracts/cm/VIIn/gVIIn,CCCCCC,C9CCC7
1076,558.0,efferent cochleovestibular bundle,cvb,9,933.0,4,1134,/997/1009/967/933/1076/,1135,root/fiber tracts/cm/VIIIn/cvb,CCCCCC,C8CBC8
413,617.0,vestibular nerve,vVIIIn,9,933.0,4,1135,/997/1009/967/933/413/,1136,root/fiber tracts/cm/VIIIn/vVIIIn,CCCCCC,C9CACB
948,542.0,cochlear nerve,cVIIIn,9,933.0,4,1136,/997/1009/967/933/948/,1137,root/fiber tracts/cm/VIIIn/cVIIIn,CCCCCC,CAC9C8
237,595.0,solitary tract,ts,9,917.0,4,1145,/997/1009/967/917/237/,1146,root/fiber tracts/cm/Xn/ts,CCCCCC,C8CAC7
932,540.0,cervicothalamic tract,cett,8,792.0,4,1150,/997/1009/967/792/932/,1151,root/fiber tracts/cm/drt/cett,CCCCCC,CCC7CA
29,569.0,lateral spinothalamic tract,sttl,9,871.0,4,1161,/997/1009/967/871/29/,1162,root/fiber tracts/cm/sst/sttl,CCCCCC,CCCBCC
389,614.0,ventral spinothalamic tract,sttv,9,871.0,4,1162,/997/1009/967/871/389/,1163,root/fiber tracts/cm/sst/sttv,CCCCCC,CBCAC9
245,596.0,spinocervical tract,scrt,9,871.0,4,1163,/997/1009/967/871/245/,1164,root/fiber tracts/cm/sst/scrt,CCCCCC,C9CCCC
261,598.0,spino-olivary pathway,sop,9,871.0,4,1164,/997/1009/967/871/261/,1165,root/fiber tracts/cm/sst/sop,CCCCCC,CCC7C8
270,599.0,spinoreticular pathway,srp,9,871.0,4,1165,/997/1009/967/871/270/,1166,root/fiber tracts/cm/sst/srp,CCCCCC,CBCCC9
293,602.0,spinovestibular pathway,svp,9,871.0,4,1166,/997/1009/967/871/293/,1167,root/fiber tracts/cm/sst/svp,CCCCCC,C9CBCC
277,600.0,spinotectal pathway,stp,9,871.0,4,1167,/997/1009/967/871/277/,1168,root/fiber tracts/cm/sst/stp,CCCCCC,C9CCCB
253,597.0,spinohypothalamic pathway,shp,9,871.0,4,1168,/997/1009/967/871/253/,1169,root/fiber tracts/cm/sst/shp,CCCCCC,CCCBC9
285,601.0,spinotelenchephalic pathway,step,9,871.0,4,1169,/997/1009/967/871/285/,1170,root/fiber tracts/cm/sst/step,CCCCCC,C7CCC8
326,606.0,superior cerebelar peduncles,scp,8,752.0,4,1174,/997/1009/960/752/326/,1175,root/fiber tracts/cbf/cbp/scp,CCCCCC,CBC9CB
78,575.0,middle cerebellar peduncle,mcp,8,752.0,4,1179,/997/1009/960/752/78/,1180,root/fiber tracts/cbf/cbp/mcp,CCCCCC,CCCCCA
1123,564.0,inferior cerebellar peduncle,icp,8,752.0,4,1180,/997/1009/960/752/1123/,1181,root/fiber tracts/cbf/cbp/icp,CCCCCC,C9C9C8
373,612.0,trigeminocerebellar tract,tct,8,752.0,4,1187,/997/1009/960/752/373/,1188,root/fiber tracts/cbf/cbp/tct,CCCCCC,CACCC9
956,543.0,"corpus callosum, anterior forceps",fa,9,776.0,4,1192,/997/1009/983/776/956/,1193,root/fiber tracts/lfbs/cc/fa,CCCCCC,CAC7CC
964,544.0,"corpus callosum, extreme capsule",ee,9,776.0,4,1194,/997/1009/983/776/964/,1195,root/fiber tracts/lfbs/cc/ee,CCCCCC,C9C8CA
1108,562.0,genu of corpus callosum,ccg,9,776.0,4,1195,/997/1009/983/776/1108/,1196,root/fiber tracts/lfbs/cc/ccg,CCCCCC,CCC7C9
971,545.0,"corpus callosum, posterior forceps",fp,9,776.0,4,1196,/997/1009/983/776/971/,1197,root/fiber tracts/lfbs/cc/fp,CCCCCC,C8C9CA
979,546.0,"corpus callosum, rostrum",ccr,9,776.0,4,1197,/997/1009/983/776/979/,1198,root/fiber tracts/lfbs/cc/ccr,CCCCCC,CBC8C7
484682516,,"corpus callosum, body",ccb,9,776.0,4,1198,/997/1009/983/776/484682516/,1199,root/fiber tracts/lfbs/cc/ccb,CCCCCC,C9C7C9
986,547.0,"corpus callosum, splenium",ccs,9,776.0,4,1199,/997/1009/983/776/986/,1200,root/fiber tracts/lfbs/cc/ccs,CCCCCC,C7CACC
6,566.0,internal capsule,int,9,784.0,4,1201,/997/1009/983/784/6/,1202,root/fiber tracts/lfbs/cst/int,CCCCCC,CCCCCC
924,539.0,cerebal peduncle,cpd,9,784.0,4,1202,/997/1009/983/784/924/,1203,root/fiber tracts/lfbs/cst/cpd,CCCCCC,CCCAC7
1036,553.0,corticotectal tract,cte,9,784.0,4,1203,/997/1009/983/784/1036/,1204,root/fiber tracts/lfbs/cst/cte,CCCCCC,C8CCC8
1012,550.0,corticorubral tract,crt,9,784.0,4,1204,/997/1009/983/784/1012/,1205,root/fiber tracts/lfbs/cst/crt,CCCCCC,C8C7CA
1003,549.0,corticopontine tract,cpt,9,784.0,4,1205,/997/1009/983/784/1003/,1206,root/fiber tracts/lfbs/cst/cpt,CCCCCC,C7C8CB
994,548.0,corticobulbar tract,cbt,9,784.0,4,1206,/997/1009/983/784/994/,1207,root/fiber tracts/lfbs/cst/cbt,CCCCCC,CBC7CA
190,589.0,pyramid,py,9,784.0,4,1207,/997/1009/983/784/190/,1208,root/fiber tracts/lfbs/cst/py,CCCCCC,C7C9C9
198,590.0,pyramidal decussation,pyd,9,784.0,4,1208,/997/1009/983/784/198/,1209,root/fiber tracts/lfbs/cst/pyd,CCCCCC,C9C7CC
1019,551.0,"corticospinal tract, crossed",cstc,9,784.0,4,1209,/997/1009/983/784/1019/,1210,root/fiber tracts/lfbs/cst/cstc,CCCCCC,C7CACB
1028,552.0,"corticospinal tract, uncrossed",cstu,9,784.0,4,1210,/997/1009/983/784/1028/,1211,root/fiber tracts/lfbs/cst/cstu,CCCCCC,CCC8C8
1092,560.0,external medullary lamina of the thalamus,em,8,896.0,4,1212,/997/1009/983/896/1092/,1213,root/fiber tracts/lfbs/lfbst/em,CCCCCC,C7CACA
14,567.0,internal medullary lamina of the thalamus,im,8,896.0,4,1213,/997/1009/983/896/14/,1214,root/fiber tracts/lfbs/lfbst/im,CCCCCC,CACCCA
86,576.0,middle thalamic commissure,mtc,8,896.0,4,1214,/997/1009/983/896/86/,1215,root/fiber tracts/lfbs/lfbst/mtc,CCCCCC,CACCCC
365,611.0,thalamic peduncles,tp,8,896.0,4,1215,/997/1009/983/896/365/,1216,root/fiber tracts/lfbs/lfbst/tp,CCCCCC,CCC9CA
484682520,,optic radiation,or,8,896.0,4,1216,/997/1009/983/896/484682520/,1217,root/fiber tracts/lfbs/lfbst/or,CCCCCC,CBC9C7
484682524,,auditory radiation,ar,8,896.0,4,1217,/997/1009/983/896/484682524/,1218,root/fiber tracts/lfbs/lfbst/ar,CCCCCC,CCC8CA
142,583.0,pallidothalamic pathway,pap,8,760.0,4,1220,/997/1009/1000/760/142/,1221,root/fiber tracts/eps/epsc/pap,CCCCCC,CBCBCA
102,578.0,nigrostriatal tract,nst,8,760.0,4,1221,/997/1009/1000/760/102/,1222,root/fiber tracts/eps/epsc/nst,CCCCCC,CCCACB
109,579.0,nigrothalamic fibers,ntt,8,760.0,4,1222,/997/1009/1000/760/109/,1223,root/fiber tracts/eps/epsc/ntt,CCCCCC,CBCCCA
134,582.0,pallidotegmental fascicle,ptf,8,760.0,4,1223,/997/1009/1000/760/134/,1224,root/fiber tracts/eps/epsc/ptf,CCCCCC,CACBCC
309,604.0,striatonigral pathway,snp,8,760.0,4,1224,/997/1009/1000/760/309/,1225,root/fiber tracts/eps/epsc/snp,CCCCCC,C7CBC9
317,605.0,subthalamic fascicle,stf,8,760.0,4,1225,/997/1009/1000/760/317/,1226,root/fiber tracts/eps/epsc/stf,CCCCCC,CBCBC9
1051,555.0,direct tectospinal pathway,tspd,9,877.0,4,1227,/997/1009/1000/877/1051/,1228,root/fiber tracts/eps/tsp/tspd,CCCCCC,CBC8C8
1060,556.0,doral tegmental decussation,dtd,9,877.0,4,1228,/997/1009/1000/877/1060/,1229,root/fiber tracts/eps/tsp/dtd,CCCCCC,CACAC7
1043,554.0,crossed tectospinal pathway,tspc,9,877.0,4,1229,/997/1009/1000/877/1043/,1230,root/fiber tracts/eps/tsp/tspc,CCCCCC,C8C8CC
397,615.0,ventral tegmental decussation,vtd,9,863.0,4,1231,/997/1009/1000/863/397/,1232,root/fiber tracts/eps/rust/vtd,CCCCCC,CACBC9
221,593.0,rubroreticular tract,rrt,9,863.0,4,1232,/997/1009/1000/863/221/,1233,root/fiber tracts/eps/rust/rrt,CCCCCC,CACBCA
205,591.0,"retriculospinal tract, lateral part",rstl,9,855.0,4,1235,/997/1009/1000/855/205/,1236,root/fiber tracts/eps/rst/rstl,CCCCCC,CCC9CC
213,592.0,"retriculospinal tract, medial part",rstm,9,855.0,4,1236,/997/1009/1000/855/213/,1237,root/fiber tracts/eps/rst/rstm,CCCCCC,CBCACA
884,534.0,amygdalar capsule,amc,8,768.0,4,1240,/997/1009/991/768/884/,1241,root/fiber tracts/mfbs/mfbc/amc,CCCCCC,C8C9CB
892,535.0,ansa peduncularis,apd,8,768.0,4,1241,/997/1009/991/768/892/,1242,root/fiber tracts/mfbs/mfbc/apd,CCCCCC,C7CCCB
908,537.0,"anterior commissure, temporal limb",act,8,768.0,4,1242,/997/1009/991/768/908/,1243,root/fiber tracts/mfbs/mfbc/act,CCCCCC,C9C9C9
940,541.0,cingulum bundle,cing,8,768.0,4,1243,/997/1009/991/768/940/,1244,root/fiber tracts/mfbs/mfbc/cing,CCCCCC,CACCC7
1099,561.0,fornix system,fxs,8,768.0,4,1244,/997/1009/991/768/1099/,1245,root/fiber tracts/mfbs/mfbc/fxs,CCCCCC,CCC9C7
37,570.0,longitudinal association bundle,lab,8,768.0,4,1258,/997/1009/991/768/37/,1259,root/fiber tracts/mfbs/mfbc/lab,CCCCCC,CBCCCC
301,603.0,stria terminalis,st,8,768.0,4,1259,/997/1009/991/768/301/,1260,root/fiber tracts/mfbs/mfbc/st,CCCCCC,C8CBC7
54,572.0,medial forebrain bundle,mfb,8,824.0,4,1262,/997/1009/991/824/54/,1263,root/fiber tracts/mfbs/mfsbshy/mfb,CCCCCC,CBCCCB
